1	2	3	4	5
676000	702000	586000	1300000	767000
1013000	839000	668000	741000	824000
1095000	982000	566000	794000	789000
732000	785000	713000	703000	860000
808000	791000	547000	814000	837000
883000	872000	549000	693000	788000
804000	775000	569000	1782000	855000
800000	771000	531000	761000	994000
795000	785000	603000	819000	784000
996000	736000	666000	692000	791000
744000	961000	664000	747000	838000
664000	781000	622000	716000	955000
765000	864000	567000	972000	886000
665000	894000	585000	828000	1250000
862000	775000	843000	1112000	853000
790000	662000	584000	904000	831000
741000	806000	587000	1039000	1354000
688000	768000	548000	731000	843000
670000	901000	610000	1054000	798000
982000	866000	624000	956000	830000
673000	1033000	591000	774000	902000
817000	910000	630000	992000	781000
943000	890000	582000	871000	884000
741000	636000	667000	744000	801000
713000	761000	566000	1247000	783000
1017000	798000	569000	743000	806000
675000	699000	851000	1320000	770000
799000	747000	599000	841000	843000
572000	773000	582000	1193000	894000
785000	733000	564000	1226000	792000
592000	949000	517000	875000	937000
1009000	674000	581000	687000	767000
930000	895000	747000	687000	1438000
701000	745000	546000	1301000	791000
682000	824000	593000	867000	794000
777000	733000	592000	674000	831000
695000	856000	648000	917000	877000
731000	885000	958000	771000	1372000
835000	729000	1163000	857000	787000
794000	851000	560000	1098000	834000
839000	1121000	634000	703000	802000
846000	746000	730000	940000	800000
629000	731000	555000	763000	795000
820000	656000	548000	1530000	773000
700000	1020000	1049000	895000	794000
843000	811000	592000	710000	881000
965000	811000	553000	815000	879000
788000	1000000	523000	887000	1434000
835000	758000	723000	735000	763000
662000	1009000	3718000	896000	870000
718000	836000	648000	908000	829000
923000	819000	592000	765000	766000
682000	1087000	589000	863000	969000
768000	1107000	575000	676000	753000
683000	784000	578000	940000	762000
1160000	927000	570000	739000	785000
680000	949000	536000	783000	819000
866000	975000	684000	757000	816000
627000	779000	523000	1339000	829000
721000	1246000	712000	858000	1094000
630000	686000	531000	1101000	867000
850000	722000	648000	822000	883000
1035000	859000	1210000	723000	764000
620000	733000	1317000	814000	772000
903000	979000	568000	847000	756000
725000	756000	1120000	892000	782000
789000	785000	670000	1139000	823000
810000	1278000	691000	736000	763000
1021000	785000	822000	751000	780000
756000	657000	633000	733000	808000
614000	889000	633000	757000	820000
708000	723000	664000	835000	1360000
1337000	713000	718000	1059000	850000
911000	776000	1511000	996000	861000
845000	859000	826000	682000	850000
786000	755000	689000	802000	821000
737000	797000	5402000	801000	905000
702000	1183000	1798000	847000	764000
760000	814000	511000	782000	899000
740000	788000	626000	701000	866000
700000	759000	735000	737000	766000
678000	1051000	637000	877000	910000
764000	903000	602000	818000	854000
668000	743000	727000	897000	828000
832000	865000	594000	1320000	838000
689000	678000	793000	1256000	1217000
750000	799000	566000	1048000	829000
1092000	802000	839000	786000	788000
680000	789000	688000	743000	893000
650000	710000	579000	710000	797000
769000	882000	545000	736000	813000
928000	775000	572000	746000	776000
736000	767000	731000	680000	838000
1031000	680000	762000	794000	908000
647000	829000	510000	786000	859000
705000	996000	563000	729000	994000
821000	756000	665000	903000	757000
669000	725000	1074000	729000	844000
669000	817000	566000	813000	879000
838000	720000	966000	999000	896000
799000	719000	770000	794000	782000
793000	787000	564000	921000	916000
719000	925000	532000	1111000	851000
636000	743000	726000	746000	856000
1003000	755000	634000	866000	812000
666000	685000	552000	797000	811000
789000	845000	1479000	796000	861000
885000	1123000	569000	865000	787000
753000	4113000	547000	804000	828000
793000	758000	631000	849000	762000
771000	782000	531000	695000	797000
882000	753000	574000	803000	859000
819000	884000	677000	832000	890000
796000	870000	657000	1277000	820000
699000	699000	556000	834000	768000
882000	867000	510000	818000	749000
642000	837000	703000	796000	876000
754000	1044000	708000	767000	791000
793000	953000	829000	802000	818000
711000	874000	663000	1007000	789000
800000	938000	720000	906000	869000
734000	967000	522000	802000	787000
897000	972000	553000	698000	838000
595000	707000	647000	789000	864000
752000	658000	542000	1049000	988000
698000	888000	607000	948000	806000
898000	696000	580000	1292000	786000
834000	866000	614000	1702000	833000
750000	839000	656000	825000	816000
643000	942000	557000	819000	776000
890000	906000	516000	874000	761000
756000	917000	631000	1051000	778000
840000	1216000	813000	973000	822000
872000	754000	807000	757000	867000
959000	1020000	538000	795000	791000
861000	653000	670000	896000	805000
702000	776000	616000	710000	816000
686000	998000	555000	767000	765000
825000	854000	646000	936000	869000
766000	965000	745000	797000	816000
724000	1043000	540000	1044000	836000
871000	835000	973000	819000	781000
710000	936000	580000	738000	810000
786000	902000	598000	824000	1229000
852000	746000	698000	761000	3158000
639000	827000	501000	1412000	891000
972000	948000	777000	1174000	783000
708000	983000	643000	880000	866000
849000	784000	786000	861000	869000
748000	896000	635000	770000	942000
1202000	745000	592000	1958000	901000
654000	744000	641000	791000	861000
1190000	901000	712000	733000	790000
880000	864000	548000	908000	1095000
756000	724000	684000	1012000	776000
674000	747000	571000	786000	835000
775000	822000	636000	682000	794000
678000	832000	598000	782000	1166000
814000	802000	618000	804000	877000
644000	946000	963000	805000	912000
846000	783000	507000	765000	1028000
654000	848000	784000	777000	1158000
955000	763000	515000	798000	864000
647000	682000	748000	761000	851000
714000	972000	624000	746000	811000
677000	901000	594000	1075000	815000
733000	826000	571000	1048000	933000
802000	1028000	556000	1780000	1333000
727000	667000	766000	1130000	782000
711000	1440000	689000	1081000	772000
709000	667000	570000	749000	788000
733000	806000	628000	852000	831000
799000	909000	668000	701000	852000
841000	785000	529000	823000	821000
888000	719000	597000	826000	827000
685000	802000	643000	2256000	819000
647000	767000	624000	1087000	788000
651000	805000	538000	758000	771000
729000	2115000	551000	2388000	787000
942000	732000	590000	791000	856000
794000	1057000	735000	775000	940000
1159000	1021000	682000	721000	785000
820000	815000	705000	780000	904000
841000	906000	550000	737000	817000
834000	785000	589000	798000	926000
1156000	779000	1262000	808000	758000
909000	860000	675000	760000	833000
593000	940000	620000	1181000	1454000
1056000	872000	634000	899000	813000
602000	777000	635000	1079000	795000
847000	1135000	1120000	793000	854000
797000	863000	621000	919000	896000
690000	1004000	583000	691000	764000
767000	1102000	553000	943000	867000
937000	819000	560000	722000	894000
969000	992000	663000	728000	776000
779000	1948000	648000	1128000	817000
1036000	660000	536000	705000	789000
769000	5797000	724000	791000	931000
760000	775000	548000	1152000	837000
935000	938000	861000	765000	813000
795000	817000	538000	846000	830000
840000	788000	593000	1011000	1009000
813000	1220000	777000	1003000	912000
683000	757000	568000	754000	824000
760000	973000	530000	824000	833000
