1	10	100	1000	10000	100000	1000000
11	2	2	3	7	57	524
2	2	2	2	6	56	518
1	2	2	2	12	53	518
2	2	2	2	6	52	525
2	3	4	2	8	52	522
3	2	2	2	6	53	521
2	2	2	2	6	52	521
2	2	2	2	7	52	520
2	2	1	2	6	53	520
3	2	4	2	7	52	520
2	2	2	2	5	52	520
1	2	2	2	6	52	521
2	1	2	1	6	51	521
1	2	1	2	6	52	520
2	2	2	2	6	52	524
2	1	2	2	6	52	524
2	2	2	2	5	52	518
2	2	2	1	6	54	516
2	2	2	2	6	52	520
2	1	2	1	6	52	519
2	2	2	2	6	52	519
2	2	1	2	6	52	521
2	2	2	2	6	52	521
2	1	2	1	6	52	520
2	1	2	1	6	52	518
2	2	2	1	6	52	519
2	2	2	2	6	52	521
1	2	2	2	5	52	519
1	1	2	2	6	52	524
2	1	2	1	6	52	521
2	1	2	1	6	51	520
2	2	1	2	6	52	517
2	2	1	1	6	56	522
2	1	2	1	6	52	519
2	1	2	1	6	51	519
1	2	1	2	6	52	519
2	2	2	2	5	52	523
2	1	2	2	6	52	521
2	1	2	2	5	52	520
1	1	2	2	6	51	518
2	2	2	1	6	52	519
1	2	2	2	6	52	520
1	2	2	1	6	51	518
1	2	2	2	5	51	519
1	2	1	2	6	51	520
1	2	2	2	6	52	521
1	2	2	2	5	52	516
1	2	2	1	6	53	516
2	1	2	1	5	52	519
2	1	2	1	6	52	519
2	2	2	1	6	52	518
2	2	2	1	6	51	519
1	1	2	1	6	51	519
2	2	2	2	6	52	518
1	2	2	1	6	51	519
1	2	1	2	5	52	519
2	2	1	1	6	52	519
1	2	2	2	5	52	518
2	2	1	1	6	51	520
2	2	2	2	6	51	518
1	2	2	2	6	52	520
2	2	2	2	6	52	517
2	2	2	2	6	54	515
2	2	2	2	6	52	517
2	2	2	1	6	52	519
2	2	2	2	6	52	518
1	1	2	2	6	52	520
1	2	1	2	6	52	520
2	2	1	2	6	52	519
2	2	2	2	6	51	520
1	1	2	2	6	52	519
1	2	2	1	6	51	518
1	1	2	2	5	52	518
2	2	1	1	6	52	521
1	2	2	1	6	52	522
2	1	2	2	5	52	520
2	2	2	1	6	52	516
2	2	1	1	6	54	516
2	2	1	2	6	52	516
2	2	1	2	6	52	518
2	1	2	2	6	52	519
2	2	2	2	5	52	521
2	2	2	2	6	52	520
2	2	2	2	5	52	519
1	2	2	1	6	51	519
2	1	2	2	6	52	520
2	1	2	2	6	52	520
2	1	2	2	6	51	519
1	2	2	1	6	52	522
2	2	2	2	6	52	520
2	1	1	2	5	52	522
2	1	1	2	6	53	517
1	2	2	2	5	54	517
2	2	2	1	6	52	519
2	1	2	1	6	52	519
2	2	2	2	5	52	519
2	1	2	1	6	52	520
1	2	2	2	6	51	520
2	2	2	2	6	51	519
3	2	2	1	6	52	519
