1	10	100	1000	10000	100000
17	8	6	6	7	47
6	5	6	5	13	43
4	4	4	3	19	54
3	4	3	3	7	49
3	3	3	4	5	47
4	3	3	4	5	50
4	3	5	3	6	67
4	3	3	3	5	41
3	4	3	3	6	60
3	3	3	3	6	44
5	5	3	2	5	40
3	2	3	3	6	54
3	3	3	3	5	44
3	4	4	3	5	41
3	3	3	2	5	60
3	3	3	3	10	41
3	2	4	4	10	47
2	3	4	3	5	60
3	3	3	3	8	47
3	3	2	3	5	47
4	3	3	3	6	40
4	5	6	3	4	47
3	3	3	2	5	57
5	3	3	3	5	43
5	3	3	3	5	49
2	3	5	3	5	62
3	3	3	2	5	50
3	2	3	3	7	42
3	4	3	4	9	85
4	6	4	4	11	57
4	4	8	8	10	79
5	5	4	12	17	86
5	3	6	4	7	62
2	4	5	6	6	53
2	3	3	4	6	54
4	3	2	3	14	48
2	3	2	2	5	61
4	3	3	2	6	55
3	3	3	3	4	49
2	3	3	3	9	44
4	8	4	3	10	50
3	3	3	4	7	51
3	3	3	5	5	49
2	2	2	3	6	49
2	3	5	2	5	63
3	2	2	3	6	41
2	4	2	3	5	48
2	2	3	2	6	61
5	3	2	3	6	43
2	2	2	3	6	49
3	2	3	5	6	56
3	3	2	2	5	44
4	2	3	2	8	43
2	3	3	3	6	55
2	2	2	2	5	49
3	3	2	3	5	50
3	3	3	4	5	49
4	3	5	3	5	47
2	2	3	3	5	43
2	6	2	2	5	62
2	3	2	3	5	46
4	2	3	2	6	44
3	2	2	3	5	51
3	3	3	3	5	47
3	2	2	2	5	44
3	3	2	2	8	62
3	3	3	3	9	44
3	2	2	3	7	43
3	3	3	3	6	48
3	3	2	3	5	42
2	2	4	3	5	49
2	3	2	3	5	51
3	6	3	2	6	43
3	2	2	3	5	43
4	2	3	2	5	54
4	3	2	3	4	43
3	2	2	3	5	45
3	2	3	2	5	55
2	2	2	3	6	43
3	2	3	2	9	47
3	2	3	3	5	57
2	3	2	3	6	49
2	2	2	3	5	51
3	2	2	2	6	67
2	2	3	3	5	48
3	5	4	3	7	41
2	3	2	3	6	52
4	3	3	3	6	50
3	3	2	3	5	44
2	2	2	2	6	54
2	2	2	2	5	48
2	3	2	2	7	44
2	3	2	3	21	48
2	3	2	2	5	43
3	2	2	4	6	48
3	2	7	7	6	48
2	3	4	2	5	48
2	2	2	2	5	44
8	5	3	2	6	41
2	2	2	2	6	48
2	3	3	3	5	42
3	2	2	3	17	40
2	3	3	2	6	44
3	3	3	3	10	53
3	3	3	3	7	47
3	2	3	4	5	43
2	3	3	2	5	60
3	4	8	4	7	79
