1	10	50	100	500	1000
17	11	6	6	6	33
6	7	9	11	11	12
8	6	7	8	6	7
18	15	7	6	7	13
10	5	12	5	4	3
4	5	4	4	4	3
6	3	3	5	4	4
5	4	3	4	4	6
4	3	4	4	4	4
4	4	4	3	4	3
4	4	3	3	3	4
3	4	4	4	3	4
5	4	4	4	4	4
4	4	4	4	5	3
3	8	5	3	3	3
4	4	4	3	4	4
3	4	4	3	3	5
3	4	4	3	12	7
27	6	6	4	7	6
4	3	3	3	4	4
10	5	4	4	4	6
4	4	4	4	3	3
3	3	3	3	4	4
3	3	3	3	7	3
3	3	3	4	3	3
4	4	5	5	7	4
3	5	6	5	5	5
4	4	3	6	4	5
4	4	4	5	4	5
4	4	3	4	3	3
4	4	3	2	3	5
4	4	3	3	3	4
3	3	3	2	4	5
3	3	3	3	3	5
3	3	2	2	3	4
2	3	4	3	4	4
3	3	3	3	3	4
2	3	4	3	3	4
3	2	3	2	3	4
4	3	3	3	3	5
3	3	2	5	3	4
3	3	3	2	3	4
3	3	3	2	3	4
3	3	3	3	5	10
4	3	3	3	3	5
3	2	2	3	3	6
3	3	3	3	3	8
6	6	5	6	8	10
5	6	6	5	8	9
5	5	6	5	7	8
